# Inverse Adding-Doubling 3-11-3 (21 Aug 2019) 
# 
#                        Beam diameter =     5.0 mm
#                     Sample thickness =   1.000 mm
#                  Top slide thickness =   1.000 mm
#               Bottom slide thickness =   1.000 mm
#           Sample index of refraction =  1.3400
#        Top slide index of refraction =  1.5000
#     Bottom slide index of refraction =  1.5000
# 
#    Fraction unscattered refl. in M_R =   100.0 %
#   Fraction unscattered trans. in M_T =   100.0 %
# 
# Reflection sphere
#                      sphere diameter =    25.4 mm
#                 sample port diameter =    12.7 mm
#               entrance port diameter =     1.0 mm
#               detector port diameter =     1.0 mm
#                     wall reflectance =    97.9 %
#                 standard reflectance =   100.0 %
#                 detector reflectance =     0.0 %
#
# Transmission sphere
#                      sphere diameter =     0.0 mm
#                 sample port diameter =     1.$ mm
#               entrance port diameter =     1.$ mm
#               detector port diameter =     1.$ mm
#                     wall reflectance =    98.0 %
#               standard transmittance = 35030.0 %
#                 detector reflectance =     0.0 %
#
# Something went wrong ... measures should be 1 to 5!
# Single sphere corrections were used with light incident at 0 degrees from the normal.
# The inverse routine adapted to the input data.
# 
# 
#                 AD quadrature points =   8
#             AD tolerance for success =   0.00010
#      MC tolerance for mu_a and mu_s' =   0.010 %
#  Photons used to estimate lost light =   100000
#
#     	Measured 	   M_R   	Measured 	   M_T   	Estimated	Estimated	Estimated
##wave	   M_R   	   fit   	   M_T   	   fit   	  mu_a   	  mu_s'  	    g    
# [nm]	  [---]  	  [---]  	  [---]  	  [---]  	  1/mm   	  1/mm   	  [---]  
     1	-7.613e-002	1.994e-001	0.000e+000	-1.#IOe+000	0.000e+000	2.000e+000	-9.999e-001	# r 
     2	1.400e-001	1.400e-001	-1.721e-001	-1.#IOe+000	2.800e-002	1.924e+000	-9.797e-001	# t 
 350.8	1.232e-001	1.233e-001	-2.282e-001	-1.#IOe+000	5.714e-006	1.177e+000	-1.771e-001	# t 
 351.3	8.757e-002	8.757e-002	-2.474e-001	-1.#IOe+000	1.797e-001	1.313e+000	-6.009e-001	# t 
 351.9	1.000e-001	9.963e-002	-2.487e-001	-1.#IOe+000	7.250e-003	5.560e-001	4.400e-001	# t 
 352.4	7.027e-002	7.027e-002	-2.479e-001	-1.#IOe+000	1.329e-001	8.259e-001	4.748e-002	# t 
 352.9	8.997e-002	8.997e-002	-2.072e-001	-1.#IOe+000	2.174e-001	1.207e+000	-5.427e-001	# t 
 353.4	8.838e-002	8.815e-002	-1.903e-001	-1.#IOe+000	1.401e-002	4.733e-001	5.199e-001	# t 
 354.0	9.296e-002	9.296e-002	-1.401e-001	-1.#IOe+000	3.955e-001	1.187e+000	-9.633e-001	# t 
 354.5	1.131e-001	1.131e-001	-1.179e-001	-1.#IOe+000	7.328e-002	1.260e+000	-3.593e-001	# t 
 355.0	1.169e-001	1.169e-001	-9.195e-002	-1.#IOe+000	9.596e-004	9.555e-001	4.362e-002	# t 
 355.5	1.449e-001	1.441e-001	-6.623e-002	-1.#IOe+000	1.184e-003	1.418e+000	-4.200e-001	# t 
 356.0	1.364e-001	1.364e-001	-4.333e-002	-1.#IOe+000	2.670e-003	1.337e+000	-3.407e-001	# t 
 356.6	1.449e-001	1.455e-001	-3.204e-002	-1.#IOe+000	4.631e-002	1.774e+000	-8.599e-001	# t 
 357.1	1.519e-001	1.536e-001	-2.689e-002	-1.#IOe+000	3.974e-002	1.594e+000	-6.599e-001	# t 
 357.6	1.591e-001	1.669e-002	4.992e-003	-1.#IOe+000	5.000e-001	5.000e-001	0.000e+000	# + 
 358.1	1.581e-001	1.670e-002	1.613e-003	-1.#IOe+000	5.000e-001	5.000e-001	0.000e+000	# + 
 358.7	1.797e-001	1.797e-001	-1.592e-003	-1.#IOe+000	6.590e-003	1.778e+000	-7.899e-001	# t 
 359.2	1.796e-001	1.796e-001	-6.289e-003	-1.#IOe+000	3.356e-002	1.829e+000	-8.925e-001	# t 
 359.7	1.743e-001	1.743e-001	-6.126e-003	-1.#IOe+000	1.820e-002	1.769e+000	-8.015e-001	# t 
 360.2	1.766e-001	1.766e-001	-2.560e-002	-1.#IOe+000	5.128e-003	1.704e+000	-7.126e-001	# t 
 360.8	1.767e-001	1.767e-001	-5.857e-003	-1.#IOe+000	1.070e-002	1.745e+000	-7.636e-001	# t 
 361.3	1.874e-001	1.874e-001	-3.039e-002	-1.#IOe+000	2.474e-003	1.957e+000	-9.620e-001	# t 
 361.8	1.873e-001	1.865e-001	-2.104e-002	-1.#IOe+000	4.423e-004	1.830e+000	-8.313e-001	# t 
 362.3	1.895e-001	1.894e-001	-1.226e-002	-1.#IOe+000	7.617e-003	1.814e+000	-8.284e-001	# t 
 362.9	1.714e-001	1.696e-001	-3.984e-003	-1.#IOe+000	1.401e-002	1.479e+000	-5.000e-001	# t 
 363.4	1.852e-001	1.672e-002	3.927e-003	-1.#IOe+000	5.000e-001	5.000e-001	0.000e+000	# + 
 363.9	1.774e-001	1.771e-001	-1.918e-002	-1.#IOe+000	2.646e-003	1.436e+000	-4.400e-001	# t 
 364.4	1.749e-001	1.748e-001	-7.576e-003	-1.#IOe+000	3.972e-002	1.748e+000	-8.207e-001	# t 
 364.9	2.004e-001	1.868e-001	-1.863e-002	-1.#IOe+000	0.000e+000	1.860e+000	-8.599e-001	# + 
 365.5	1.780e-001	1.783e-001	-3.194e-002	-1.#IOe+000	1.037e-002	1.821e+000	-8.399e-001	# t 
 366.0	1.799e-001	1.796e-001	0.000e+000	-1.#IOe+000	2.646e-003	1.496e+000	-5.000e-001	# ? 
