IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
349.8	0.22448979591836735	0.28189300411522633	0.0	0.9788	0.9788	0.98	1.0
350.3	0.2542857142857143	0.3771760154738878	0.0	0.9788	0.9788	0.98	1.0
350.8	0.2969187675070028	0.42857142857142855	0.0	0.9788	0.9788	0.98	1.0
351.3	0.2853107344632768	0.445993031358885	0.0	0.9788	0.9788	0.98	1.0
351.9	0.28378378378378377	0.4134453781512605	0.0	0.9788	0.9788	0.98	1.0
352.4	0.2810810810810811	0.3544093178036606	0.0	0.9788	0.9788	0.98	1.0
352.9	0.2750642673521851	0.29853181076672103	0.0	0.9788	0.9788	0.98	1.0
353.4	0.2601010101010101	0.22580645161290322	0.0	0.9788	0.9788	0.98	1.0
354.0	0.25879396984924624	0.178743961352657	0.0	0.9788	0.9788	0.98	1.0
354.5	0.25879396984924624	0.13408723747980614	0.0	0.9788	0.9788	0.98	1.0
355.0	0.2512437810945274	0.0755336617405583	0.0	0.9788	0.9788	0.98	1.0
355.5	0.21739130434782608	0.06291390728476821	0.0	0.9788	0.9788	0.98	1.0
356.0	0.21770334928229665	0.043333333333333335	0.0	0.9788	0.9788	0.98	1.0
356.6	0.20665083135391923	0.0387858347386172	0.0	0.9788	0.9788	0.98	1.0
357.1	0.1939252336448598	0.023529411764705882	0.0	0.9788	0.9788	0.98	1.0
357.6	0.20909090909090908	0.051580698835274545	0.0	0.9788	0.9788	0.98	1.0
358.1	0.19534883720930232	0.03064516129032258	0.0	0.9788	0.9788	0.98	1.0
358.7	0.1935483870967742	0.03980891719745223	0.0	0.9788	0.9788	0.98	1.0
359.2	0.1973392461197339	0.025157232704402517	0.0	0.9788	0.9788	0.98	1.0
359.7	0.20915032679738563	0.033690658499234305	0.0	0.9788	0.9788	0.98	1.0
360.2	0.19787234042553192	0.04066265060240964	0.0	0.9788	0.9788	0.98	1.0
360.8	0.2182952182952183	0.04978038067349927	0.0	0.9788	0.9788	0.98	1.0
361.3	0.21181262729124237	0.056439942112879886	0.0	0.9788	0.9788	0.98	1.0
361.8	0.21912350597609562	0.051893408134642355	0.0	0.9788	0.9788	0.98	1.0
362.3	0.228515625	0.05858310626702997	0.0	0.9788	0.9788	0.98	1.0
362.9	0.21333333333333335	0.0703851261620186	0.0	0.9788	0.9788	0.98	1.0
363.4	0.21851851851851853	0.056282722513089	0.0	0.9788	0.9788	0.98	1.0
