IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
349.8	0.14868804664723032	0.28189300411522633	0.0	0.9788	0.9788	0.98	1.0
350.3	0.14	0.3771760154738878	0.0	0.9788	0.9788	0.98	1.0
350.8	0.12324929971988796	0.42857142857142855	0.0	0.9788	0.9788	0.98	1.0
351.3	0.08757062146892655	0.445993031358885	0.0	0.9788	0.9788	0.98	1.0
351.9	0.1	0.4134453781512605	0.0	0.9788	0.9788	0.98	1.0
352.4	0.07027027027027027	0.3544093178036606	0.0	0.9788	0.9788	0.98	1.0
352.9	0.08997429305912596	0.29853181076672103	0.0	0.9788	0.9788	0.98	1.0
353.4	0.08838383838383838	0.22580645161290322	0.0	0.9788	0.9788	0.98	1.0
354.0	0.09296482412060302	0.178743961352657	0.0	0.9788	0.9788	0.98	1.0
354.5	0.11306532663316583	0.13408723747980614	0.0	0.9788	0.9788	0.98	1.0
355.0	0.11691542288557213	0.0755336617405583	0.0	0.9788	0.9788	0.98	1.0
355.5	0.14492753623188406	0.06291390728476821	0.0	0.9788	0.9788	0.98	1.0
356.0	0.13636363636363635	0.043333333333333335	0.0	0.9788	0.9788	0.98	1.0
356.6	0.14489311163895488	0.0387858347386172	0.0	0.9788	0.9788	0.98	1.0
357.1	0.15186915887850466	0.023529411764705882	0.0	0.9788	0.9788	0.98	1.0
357.6	0.1590909090909091	0.051580698835274545	0.0	0.9788	0.9788	0.98	1.0
358.1	0.15813953488372093	0.03064516129032258	0.0	0.9788	0.9788	0.98	1.0
358.7	0.17972350230414746	0.03980891719745223	0.0	0.9788	0.9788	0.98	1.0
359.2	0.17960088691796008	0.025157232704402517	0.0	0.9788	0.9788	0.98	1.0
359.7	0.17429193899782136	0.033690658499234305	0.0	0.9788	0.9788	0.98	1.0
360.2	0.17659574468085107	0.04066265060240964	0.0	0.9788	0.9788	0.98	1.0
360.8	0.17671517671517672	0.04978038067349927	0.0	0.9788	0.9788	0.98	1.0
361.3	0.18737270875763748	0.056439942112879886	0.0	0.9788	0.9788	0.98	1.0
361.8	0.18725099601593626	0.051893408134642355	0.0	0.9788	0.9788	0.98	1.0
362.3	0.189453125	0.05858310626702997	0.0	0.9788	0.9788	0.98	1.0
362.9	0.17142857142857143	0.0703851261620186	0.0	0.9788	0.9788	0.98	1.0
