IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
349.8	0.22448979591836735	0.07613168724279835	0.0	0.9788	0.9788	0.98	1.0
350.3	0.2542857142857143	0.08704061895551257	0.0	0.9788	0.9788	0.98	1.0
350.8	0.2969187675070028	0.10575139146567718	0.0	0.9788	0.9788	0.98	1.0
351.3	0.2853107344632768	0.10801393728222997	0.0	0.9788	0.9788	0.98	1.0
351.9	0.28378378378378377	0.11428571428571428	0.0	0.9788	0.9788	0.98	1.0
352.4	0.2810810810810811	0.09484193011647254	0.0	0.9788	0.9788	0.98	1.0
352.9	0.2750642673521851	0.09624796084828711	0.0	0.9788	0.9788	0.98	1.0
353.4	0.2601010101010101	0.08709677419354839	0.0	0.9788	0.9788	0.98	1.0
354.0	0.25879396984924624	0.06602254428341385	0.0	0.9788	0.9788	0.98	1.0
354.5	0.25879396984924624	0.05331179321486268	0.0	0.9788	0.9788	0.98	1.0
355.0	0.2512437810945274	0.052545155993431854	0.0	0.9788	0.9788	0.98	1.0
355.5	0.21739130434782608	0.026490066225165563	0.0	0.9788	0.9788	0.98	1.0
356.0	0.21770334928229665	0.01	0.0	0.9788	0.9788	0.98	1.0
356.6	0.20665083135391923	-0.008431703204047217	0.0	0.9788	0.9788	0.98	1.0
357.1	0.1939252336448598	-0.013445378151260505	0.0	0.9788	0.9788	0.98	1.0
357.6	0.20909090909090908	0.0016638935108153079	0.0	0.9788	0.9788	0.98	1.0
358.1	0.19534883720930232	0.0016129032258064516	0.0	0.9788	0.9788	0.98	1.0
358.7	0.1935483870967742	0.01751592356687898	0.0	0.9788	0.9788	0.98	1.0
359.2	0.1973392461197339	0.018867924528301886	0.0	0.9788	0.9788	0.98	1.0
359.7	0.20915032679738563	0.006125574272588055	0.0	0.9788	0.9788	0.98	1.0
