IAD1 # Must be first four characters
# Input Example with a single set of sphere coefficients 
# The order of entries is important 
# Anything after a ’#’ is ignored, blank lines are also ignored

1.34 # Index of refraction of the sample 
1.50 # Index of refraction of the top and bottom slides 
1.0 # [mm] Thickness of sample 
1.0 # [mm] Thickness of slides 
5.0 # [mm] Diameter of illumination beam 
0.96 # Reflectance of the calibration standard
1 # Number of spheres used during each measurement

# Properties of sphere used for reflectance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
12.7 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

# Properties of sphere used for transmittance measurements 203.2 # [mm] Sphere Diameter (8 in * 25.4 mm/in) 
25.4 # [mm] Sample Port Diameter 
0.00 # [mm] Entrance Port Diameter 
1.00 # [mm] Detector Port Diameter 
0.96 # Reflectance of the sphere wall

2 # Number of measurements, M_R, M_T

#nm	#M_R	#M_T	#M_U	#r_w 	#t_w 	#rstd 	#tstd
380.7	0.2420749279538905	-0.005805515239477504	0.0	0.9788	0.9788	0.98	1.0
381.2	0.24881740775780511	-0.007137758743754461	0.0	0.9788	0.9788	0.98	1.0
381.8	0.2467889908256881	-0.0070126227208976155	0.0	0.9788	0.9788	0.98	1.0
382.3	0.242973708068903	0.0013783597518952446	0.0	0.9788	0.9788	0.98	1.0
382.8	0.25044404973357015	-0.004768392370572207	0.0	0.9788	0.9788	0.98	1.0
383.4	0.2517482517482518	-0.006711409395973154	0.0	0.9788	0.9788	0.98	1.0
383.9	0.23979148566463945	0.008655126498002663	0.0	0.9788	0.9788	0.98	1.0
384.4	0.25	-0.005263157894736842	0.0	0.9788	0.9788	0.98	1.0
384.9	0.2461799660441426	-0.003913894324853229	0.0	0.9788	0.9788	0.98	1.0
385.5	0.25374376039933444	0.0006464124111182935	0.0	0.9788	0.9788	0.98	1.0
386.0	0.24668874172185432	0.0	0.0	0.9788	0.9788	0.98	1.0
386.5	0.24939073923639318	0.0006333122229259025	0.0	0.9788	0.9788	0.98	1.0
387.1	0.2553699284009546	0.0018844221105527637	0.0	0.9788	0.9788	0.98	1.0
387.6	0.25258141382049243	0.002489110143123833	0.0	0.9788	0.9788	0.98	1.0
388.1	0.2533022533022533	0.0024479804161566705	0.0	0.9788	0.9788	0.98	1.0
388.6	0.254601226993865	0.005428226779252111	0.0	0.9788	0.9788	0.98	1.0
389.2	0.25487256371814093	0.005353955978584176	0.0	0.9788	0.9788	0.98	1.0
389.7	0.25220588235294117	0.002937720329024677	0.0	0.9788	0.9788	0.98	1.0
390.2	0.2536127167630058	0.0023014959723820483	0.0	0.9788	0.9788	0.98	1.0
390.8	0.25263157894736843	0.007825600894354388	0.0	0.9788	0.9788	0.98	1.0
391.3	0.25991792065663477	0.010382513661202186	0.0	0.9788	0.9788	0.98	1.0
391.8	0.2578490313961256	0.008547008547008548	0.0	0.9788	0.9788	0.98	1.0
392.3	0.25762491888384165	-0.0020964360587002098	0.0	0.9788	0.9788	0.98	1.0
392.9	0.2587635436583811	0.0020429009193054137	0.0	0.9788	0.9788	0.98	1.0
393.4	0.2647241165530068	0.001002004008016032	0.0	0.9788	0.9788	0.98	1.0
393.9	0.25757575757575757	0.0063756743501716525	0.0	0.9788	0.9788	0.98	1.0
394.5	0.255786350148368	0.008649687650168188	0.0	0.9788	0.9788	0.98	1.0
395.0	0.25836216839677045	0.008450704225352112	0.0	0.9788	0.9788	0.98	1.0
395.5	0.25892351274787534	0.0027752081406105457	0.0	0.9788	0.9788	0.98	1.0
396.0	0.26145251396648045	0.0009140767824497258	0.0	0.9788	0.9788	0.98	1.0
396.6	0.25730027548209367	0.0013458950201884253	0.0	0.9788	0.9788	0.98	1.0
397.1	0.25962059620596206	0.008444444444444444	0.0	0.9788	0.9788	0.98	1.0
397.6	0.2620689655172414	0.00441306266548985	0.0	0.9788	0.9788	0.98	1.0
398.2	0.25516146109052407	0.008311461067366578	0.0	0.9788	0.9788	0.98	1.0
398.7	0.25447839831401475	0.0078125	0.0	0.9788	0.9788	0.98	1.0
399.2	0.2548101924076963	0.005179110919292188	0.0	0.9788	0.9788	0.98	1.0
399.8	0.2533470648815654	0.004706889174154899	0.0	0.9788	0.9788	0.98	1.0
400.3	0.25204498977505113	0.006391137622496805	0.0	0.9788	0.9788	0.98	1.0
400.8	0.2529262086513995	0.004664970313825276	0.0	0.9788	0.9788	0.98	1.0
401.3	0.25691302161890395	0.003368421052631579	0.0	0.9788	0.9788	0.98	1.0
401.9	0.259222333000997	0.0066945606694560665	0.0	0.9788	0.9788	0.98	1.0
402.4	0.25663716814159293	0.003728251864125932	0.0	0.9788	0.9788	0.98	1.0
402.9	0.2541302235179786	0.002461033634126333	0.0	0.9788	0.9788	0.98	1.0
403.5	0.2574021012416428	0.008090614886731391	0.0	0.9788	0.9788	0.98	1.0
404.0	0.25727699530516435	0.004396482813749001	0.0	0.9788	0.9788	0.98	1.0
404.5	0.2590027700831025	0.004733727810650888	0.0	0.9788	0.9788	0.98	1.0
405.1	0.25546448087431695	0.010823347506764593	0.0	0.9788	0.9788	0.98	1.0
405.6	0.25245755138516535	0.005325218714340053	0.0	0.9788	0.9788	0.98	1.0
406.1	0.2565674255691769	0.01081685938082805	0.0	0.9788	0.9788	0.98	1.0
406.7	0.2554557124518614	0.009604728481714075	0.0	0.9788	0.9788	0.98	1.0
407.2	0.25925925925925924	0.010834236186348862	0.0	0.9788	0.9788	0.98	1.0
407.7	0.25547747002893756	0.010305614783226724	0.0	0.9788	0.9788	0.98	1.0
408.2	0.2570965125709651	0.010118632240055827	0.0	0.9788	0.9788	0.98	1.0
408.8	0.25605398967844384	0.007887517146776405	0.0	0.9788	0.9788	0.98	1.0
409.3	0.25956284153005466	0.006763611768684477	0.0	0.9788	0.9788	0.98	1.0
409.8	0.2553680981595092	0.008032128514056224	0.0	0.9788	0.9788	0.98	1.0
410.4	0.2554882664647994	0.009213557091148404	0.0	0.9788	0.9788	0.98	1.0
410.9	0.2568569310600445	0.008746355685131196	0.0	0.9788	0.9788	0.98	1.0
411.4	0.2534849596478357	0.01118925831202046	0.0	0.9788	0.9788	0.98	1.0
412.0	0.2556715880446525	0.007906388361796331	0.0	0.9788	0.9788	0.98	1.0
412.5	0.2562366357804704	0.011548064918851436	0.0	0.9788	0.9788	0.98	1.0
413.0	0.25562587904360057	0.011732016054337758	0.0	0.9788	0.9788	0.98	1.0
413.6	0.2539902845246357	0.009788926277148976	0.0	0.9788	0.9788	0.98	1.0
414.1	0.25308641975308643	0.011483831973405863	0.0	0.9788	0.9788	0.98	1.0
